Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
East Sussex,E10000011,Upper tier local authority,2020-04-30,8,NA,NA,587,NA,NA
Devon,E10000008,Upper tier local authority,2020-04-30,4,NA,NA,710,NA,NA
Derbyshire,E10000007,Upper tier local authority,2020-04-30,24,NA,NA,1299,NA,NA
Cumbria,E10000006,Upper tier local authority,2020-04-30,17,NA,NA,1914,NA,NA
Cambridgeshire,E10000003,Upper tier local authority,2020-04-30,1,NA,NA,768,NA,NA
Buckinghamshire,E10000002,Upper tier local authority,2020-04-30,1,NA,NA,836,NA,NA
Westminster,E09000033,Upper tier local authority,2020-04-30,1,NA,NA,601,NA,NA
Wandsworth,E09000032,Upper tier local authority,2020-04-30,1,NA,NA,921,NA,NA
Waltham Forest,E09000031,Upper tier local authority,2020-04-30,3,NA,NA,724,NA,NA
Southwark,E09000028,Upper tier local authority,2020-04-30,5,NA,NA,1201,NA,NA
Redbridge,E09000026,Upper tier local authority,2020-04-30,3,NA,NA,678,NA,NA
Newham,E09000025,Upper tier local authority,2020-04-30,4,NA,NA,952,NA,NA
Merton,E09000024,Upper tier local authority,2020-04-30,1,NA,NA,654,NA,NA
Lewisham,E09000023,Upper tier local authority,2020-04-30,3,NA,NA,925,NA,NA
Lambeth,E09000022,Upper tier local authority,2020-04-30,3,NA,NA,1139,NA,NA
Kingston upon Thames,E09000021,Upper tier local authority,2020-04-30,2,NA,NA,450,NA,NA
Islington,E09000019,Upper tier local authority,2020-04-30,1,NA,NA,414,NA,NA
Hounslow,E09000018,Upper tier local authority,2020-04-30,4,NA,NA,653,NA,NA
Hillingdon,E09000017,Upper tier local authority,2020-04-30,1,NA,NA,726,NA,NA
Harrow,E09000015,Upper tier local authority,2020-04-30,3,NA,NA,936,NA,NA
Haringey,E09000014,Upper tier local authority,2020-04-30,1,NA,NA,547,NA,NA
Hackney,E09000012,Upper tier local authority,2020-04-30,1,NA,NA,605,NA,NA
Greenwich,E09000011,Upper tier local authority,2020-04-30,2,NA,NA,638,NA,NA
Enfield,E09000010,Upper tier local authority,2020-04-30,1,NA,NA,833,NA,NA
Ealing,E09000009,Upper tier local authority,2020-04-30,5,NA,NA,1066,NA,NA
Camden,E09000007,Upper tier local authority,2020-04-30,1,NA,NA,576,NA,NA
Bromley,E09000006,Upper tier local authority,2020-04-30,7,NA,NA,1079,NA,NA
Brent,E09000005,Upper tier local authority,2020-04-30,2,NA,NA,1354,NA,NA
Bexley,E09000004,Upper tier local authority,2020-04-30,1,NA,NA,622,NA,NA
Barnet,E09000003,Upper tier local authority,2020-04-30,4,NA,NA,1209,NA,NA
Gateshead,E08000037,Upper tier local authority,2020-04-30,4,NA,NA,837,NA,NA
Wakefield,E08000036,Upper tier local authority,2020-04-30,5,NA,NA,530,NA,NA
Kirklees,E08000034,Upper tier local authority,2020-04-30,2,NA,NA,571,NA,NA
Calderdale,E08000033,Upper tier local authority,2020-04-30,2,NA,NA,243,NA,NA
Bradford,E08000032,Upper tier local authority,2020-04-30,17,NA,NA,912,NA,NA
Wolverhampton,E08000031,Upper tier local authority,2020-04-30,3,NA,NA,850,NA,NA
Walsall,E08000030,Upper tier local authority,2020-04-30,1,NA,NA,970,NA,NA
Sandwell,E08000028,Upper tier local authority,2020-04-30,4,NA,NA,1023,NA,NA
Dudley,E08000027,Upper tier local authority,2020-04-30,9,NA,NA,773,NA,NA
Birmingham,E08000025,Upper tier local authority,2020-04-30,3,NA,NA,2869,NA,NA
Sunderland,E08000024,Upper tier local authority,2020-04-30,8,NA,NA,1170,NA,NA
South Tyneside,E08000023,Upper tier local authority,2020-04-30,8,NA,NA,568,NA,NA
North Tyneside,E08000022,Upper tier local authority,2020-04-30,10,NA,NA,478,NA,NA
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-04-30,28,NA,NA,929,NA,NA
Sheffield,E08000019,Upper tier local authority,2020-04-30,11,NA,NA,2152,NA,NA
Rotherham,E08000018,Upper tier local authority,2020-04-30,4,NA,NA,718,NA,NA
Doncaster,E08000017,Upper tier local authority,2020-04-30,5,NA,NA,491,NA,NA
Barnsley,E08000016,Upper tier local authority,2020-04-30,18,NA,NA,661,NA,NA
Sefton,E08000014,Upper tier local authority,2020-04-30,2,NA,NA,810,NA,NA
St. Helens,E08000013,Upper tier local authority,2020-04-30,2,NA,NA,655,NA,NA
Liverpool,E08000012,Upper tier local authority,2020-04-30,4,NA,NA,1428,NA,NA
Knowsley,E08000011,Upper tier local authority,2020-04-30,2,NA,NA,554,NA,NA
Trafford,E08000009,Upper tier local authority,2020-04-30,6,NA,NA,603,NA,NA
Tameside,E08000008,Upper tier local authority,2020-04-30,3,NA,NA,465,NA,NA
Stockport,E08000007,Upper tier local authority,2020-04-30,6,NA,NA,851,NA,NA
Rochdale,E08000005,Upper tier local authority,2020-04-30,1,NA,NA,476,NA,NA
Oldham,E08000004,Upper tier local authority,2020-04-30,3,NA,NA,658,NA,NA
Manchester,E08000003,Upper tier local authority,2020-04-30,7,NA,NA,1118,NA,NA
Bury,E08000002,Upper tier local authority,2020-04-30,1,NA,NA,502,NA,NA
Bolton,E08000001,Upper tier local authority,2020-04-30,1,NA,NA,781,NA,NA
Dorset,E06000059,Upper tier local authority,2020-04-30,3,NA,NA,313,NA,NA
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-04-30,4,NA,NA,412,NA,NA
Northumberland,E06000057,Upper tier local authority,2020-04-30,13,NA,NA,787,NA,NA
Wiltshire,E06000054,Upper tier local authority,2020-04-30,3,NA,NA,441,NA,NA
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,2020-04-30,4,NA,NA,504,NA,NA
Cheshire West and Chester,E06000050,Upper tier local authority,2020-04-30,8,NA,NA,829,NA,NA
